,avg_similarity,n_topics_resolved,rep
0,0.0623534601539,20.0,1.0
1,0.061543536199,23.0,2.0
2,0.0614168347622,23.0,3.0
3,0.0654660368174,25.0,4.0
4,0.0622127539553,23.0,5.0
5,0.0708832977846,27.0,6.0
6,0.0643765588192,25.0,7.0
7,0.0628276146368,20.0,8.0
8,0.0632814640365,24.0,9.0
9,0.0650565156432,26.0,10.0
10,0.0657760537401,24.0,11.0
11,0.0685629712669,22.0,12.0
12,0.0650630967714,24.0,13.0
13,0.0612205396629,21.0,14.0
14,0.0671659347964,23.0,15.0
15,0.0625648715979,21.0,16.0
16,0.0670183530985,21.0,17.0
17,0.0713673538631,25.0,18.0
18,0.0679526089798,25.0,19.0
19,0.0667505097463,22.0,20.0
20,0.0665843842113,27.0,21.0
21,0.0640227931637,21.0,22.0
22,0.0642121578481,25.0,23.0
23,0.0652253822233,21.0,24.0
24,0.0622740229441,21.0,25.0
25,0.0666022496094,26.0,26.0
26,0.0675780302364,27.0,27.0
27,0.0660396890096,25.0,28.0
28,0.0597244779248,23.0,29.0
29,0.0662682326559,23.0,30.0
