,avg_similarity,n_topics_resolved,rep
0,0.0489601582014,16.0,1.0
1,0.0446332221024,14.0,2.0
2,0.0415282696373,12.0,3.0
3,0.0471484863572,16.0,4.0
4,0.0470175863977,14.0,5.0
5,0.0426892456358,15.0,6.0
6,0.044680783227,16.0,7.0
7,0.0441807729469,13.0,8.0
8,0.0468985947019,14.0,9.0
9,0.0439969271073,15.0,10.0
10,0.0468859377468,14.0,11.0
11,0.0430314380963,13.0,12.0
12,0.0420413373583,14.0,13.0
13,0.0422632443666,16.0,14.0
14,0.044508582066,15.0,15.0
15,0.043273025789,15.0,16.0
16,0.0487285884421,18.0,17.0
17,0.0528299968885,17.0,18.0
18,0.0411539091286,15.0,19.0
19,0.0427710128636,13.0,20.0
20,0.0431416653282,15.0,21.0
21,0.0449265229116,16.0,22.0
22,0.0402712327681,13.0,23.0
23,0.044902835352,14.0,24.0
24,0.0393552321961,13.0,25.0
25,0.0443151284248,14.0,26.0
26,0.045645964416,15.0,27.0
27,0.0466606899267,15.0,28.0
28,0.0463335808786,15.0,29.0
29,0.038920107913,14.0,30.0
